Crop,AlternatePlantName,Image,GrowInstruction,GrowthSpace,HarvestDuration,CompatiblePlant,IncompatiblePlant,AdditionalInfo,
Marrow,,https://drive.google.com/file/d/19FcZuGTi-8RLWlZSuF-NfCaSumgaJxUW/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68Â°F and 95Â°F. (Show Â°C/cm)",Space plants: 35 - 47 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn",Avoid growing close to: Potatoes,"Good, cut in thick slices, seeds removed and stuffed with mince or spicy vegetable mix then baked in the oven",
Mint,Garden mint,https://drive.google.com/file/d/1Bc5iFYSdFr3HWU0GEVKszjpP3WUS7cin/view?usp=sharing,Easy to grow. Grow in trays and plant out or start from cuttings. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70Â°F and 75Â°F. (Show Â°C/cm),Space plants: 12 inches apart,Harvest in 8-12 weeks. Cut leaves from top with scissors.,"Compatible with (can grow beside): Cabbages, Tomatoes",,Mint adds a fresh flavour if chopped and sprinkled over salads. And is traditionally used mixed with vinegar and sugar to make mint sauce for lamb.,
Mizuna,"Japanese Greens, Mitzuna, Mibuna",https://drive.google.com/file/d/1sKCt0ZINIGT5aZUo58v-N8tojDBXfK2a/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 86Â°F. (Show Â°C/cm),Space plants: 6 - 8 inches apart,Harvest in 35-50 days.,"Compatible with (can grow beside): Radish, lettuce",,"Leaves used raw, stir-fried, in soups. Young flowering stems can be cooked like broccoli.",
Mustard greens,Gai choy,https://drive.google.com/file/d/1YOh6caPs5hpz81a3jCz7sUwqp-7wrshg/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 95Â°F. (Show Â°C/cm),Space plants: 14 - 24 inches apart,Harvest in 5-8 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, camomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry",Use young leaves in salad for a 'spicy kick'. Add to stir fry.,
Okra,"Ladyfinger, gumbo",https://drive.google.com/file/d/1D-UYqBhYOtSZkxbXfm4jM1acUUnr0vBr/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68Â°F and 95Â°F. (Show Â°C/cm)",Space plants: 14 - 24 inches apart,Harvest in 11-14 weeks.,"Compatible with (can grow beside): Peppers (Capsicum, Chili), Eggplant (Aubergine)",,Use pods fresh or dried in soups or casseroles or as a boiled vegetable.,
Onion,,https://drive.google.com/file/d/1HK_Iqp7Mvz5HMpJJ-7aYs30JBfxoEZ3r/view?usp=sharing,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46Â°F and 86Â°F. (Show Â°C/cm)",Space plants: 2 - 4 inches apart,Harvest in 25-34 weeks. Allow onions to dry before storing.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans",Brown onions roasted whole with other vegetables are delicious. Red onions add colour to salads or stir-fry.,
Oregano,Pot Marjoram,https://drive.google.com/file/d/1q7jIIVW4XRLKQM-SzXxfxa6Xj5Jxkmz-/view?usp=sharing,"Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64Â°F and 77Â°F. (Show Â°C/cm)",Space plants: 6 inches apart,Harvest in 6-8 weeks. When flowers appear.,Compatible with (can grow beside): Broccoli,,"Used to flavour tomato dishes, soups, sauces and Greek dishes like moussaka",
Pak Choy,Pak choi,https://drive.google.com/file/d/1PJ4edQVSz4VqOwcSew-oGfcpysbdrrLB/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70Â°F and 86Â°F. (Show Â°C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-11 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard","You can treat Pak Choy as ""cut and come again "" or use the whole plant in one go, whichever suits your needs.",
Parsley,Curly leaf parsley or flat leaf (Italian) parsley,https://drive.google.com/file/d/1kziEg1Za-8NbYa9G0R1UVGjH2xS8cT1L/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 86Â°F. (Show Â°C/cm),Space plants: 8 - 12 inches apart,Harvest in 9-19 weeks. Cut stalks from outer part of plant.,"Compatible with (can grow beside): Carrots, Chives, Tomatoes, Asparagus",Avoid growing close to: Potatoes,"Use the leaves and stems to add flavour and colour. Can be cooked in dishes such as ratatouille, Traditionally used in white sauce.",
Parsnip,,https://drive.google.com/file/d/1wuysNwuDj8t9p9xJWhRfElkg9SbkrsYK/view?usp=sharing,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43Â°F and 70Â°F. (Show Â°C/cm),Space plants: 3 - 4 inches apart,Harvest in 17-20 weeks. Best flavour if harvested after a frost..,"Compatible with (can grow beside): Swiss Chard (Silverbeet), Capsicum, Peas, Potatoes, Beans, Radishes, Garlic","Avoid growing close to: Carrot, Celery, Brassicas",Peel and roast with vegetables or meat. The sweetish flavour of parsnips enhances most other vegetables.,
Peas,,https://drive.google.com/file/d/14Sv6muoAEVE5QtoBItEFf0eFklGNDi2P/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8Â°C and 24Â°C. (Show Â°F/in),Space plants: 5 - 8 cm apart,Harvest in 9-11 weeks. Pick the pods every day to increase production.,Compatible with (can grow beside): Potatoes,,Raw straight from the pod in the garden is best! Raw in salads. Steamed lightly. Small pods can be steamed whole.,
Potato,,https://drive.google.com/file/d/1WaEXatM9DOJYSIwowl-nZBrc9LpJFQja/view?usp=sharing,Plant tuber. Best planted at soil temperatures between 50Â°F and 86Â°F. (Show Â°C/cm),Space plants: 12 - 16 inches apart,"Harvest in 15-20 weeks. Dig carefully, avoid damaging the potatoes.","Compatible with (can grow beside): Peas, Beans, Brassicas, Sweetcorn, Broad Beans, Nasturtiums, Marigolds","Avoid growing close to: Cucumber, Pumpkin, Sunflowers, Tomatoes, Rosemary","Peeled or unpeeled and scrubbed, potatoes can be boiled, baked, fried and roasted. - The only way they are not used is raw. Keep in a pot of cold water after peeling, otherwise they will discolour.",
Pumpkin,,https://drive.google.com/file/d/1szlUhWU3fBhPGxGkPHO9BwxMb2zpo-1N/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68Â°F and 90Â°F. (Show Â°C/cm),Space plants: 35 - 47 inches apart,Harvest in 15-20 weeks.,Compatible with (can grow beside): Sweet Corn,Avoid growing close to: Potatoes,"Cut up, remove the skin and roast with other vegetables or meat. Young crisp shoots with young leaves can be cooked and eaten - stewed in coconut milk they are popular in Melanesia. Remove any strings and tough parts and stew until tender, or cook as a vegetable in boiling water 3-5 minutes.",
Radish,,https://drive.google.com/file/d/1_dpcL66hx1ogAonOW7vqm-CX2SQqcdF-/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46Â°F and 86Â°F. (Show Â°C/cm),Space plants: 1 - 2 inches apart,Harvest in 5-7 weeks.,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Avoid growing close to: Hyssop, gherkins",Wash well and remove leaves and roots. Use raw in salads or on their own with bread and butter.,
Rhubarb,,https://drive.google.com/file/d/15PyZcjteYasKzeW9dU8Fa5lsPTaKH_jh/view?usp=sharing,Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep. Best planted at soil temperatures between 41Â°F and 68Â°F. (Show Â°C/cm),Space plants: 35 inches apart,Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using..,"Compatible with (can grow beside): Brassicas (Cabbage, Broccoli, Cauliflower, etc)",,"Pick stems about the thickness of your finger. Large stems will have tough 'strings' down the length of them. Use in pies, crumbles, fools and jams. Rhubarb goes well with orange. Will usually need sweetener.",
Rocket,Arugula/Rucola,https://drive.google.com/file/d/1mfZYDfWns4XxTaPJvwM48QFSMHNxSYNE/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 77Â°F. (Show Â°C/cm),Space plants: 6 - 8 inches apart,Harvest in 21-35 days.,Compatible with (can grow beside): Lettuce,,Use in salads and stir-fry,
Rockmelon,Canteloupe,https://drive.google.com/file/d/1k-YAtsjWRfx8vOjuZ6DU24o_XPKZFz_c/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68Â°F and 90Â°F. (Show Â°C/cm)",Space plants: 16 - 24 inches apart,Harvest in 10-16 weeks.,"Compatible with (can grow beside): Sweetcorn, Sunflowers",Avoid growing close to: Potatoes,Cut in half and scoop out and discard the seeds. Sprinkle with some ground ginger or serve plain.,
Rosella,"Queensland Jam Plant, Roselle",https://drive.google.com/file/d/1cBLZPGwaH9-pkPwXE8jzvggPTk3jkyZd/view?usp=sharing,"Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 20Â°C and 35Â°C. (Show Â°F/in)",Space plants: 140 cm apart,Harvest in 21-25 weeks.,"Compatible with (can grow beside): Feverfew, Coriander, Nasturtium and Hyssop",,"The large flowers produce a crimson enlarged calyx. Use the fleshy red calyx, without the green seed pod to make jam or jelly.",
Rosemary,,https://drive.google.com/file/d/1agFLSwMYUTpPa31CmerGwWvNw8Eh5PJ3/view?usp=sharing,Easy to grow. Plant cuttings . Best planted at soil temperatures between 59Â°F and 68Â°F. (Show Â°C/cm),Space plants: 39 - 59 inches apart,"Harvest in approximately 1 years. In warmer areas, harvest time might be shorter.","Compatible with (can grow beside): Beans, Carrots, Cabbages, Sage",Avoid growing close to: Potatoes,"Leaves sprinkled on roast potatoes, meat and barbeque food make them extra tasty. Rosemary can also be used to add flavour to vinegars and oils.",
Rutabaga,Swedes,https://drive.google.com/file/d/1q2osuhxGVovMt9p4ImLY6Kwr1fXHJ6yz/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45Â°F and 77Â°F. (Show Â°C/cm),Space plants: 4 - 8 inches apart,Harvest in 10-14 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives",Avoid growing close to: Potatoes,Use when about the size of a tennis ball. The leaves can be cooked like cabbage when young.,
Sage,Common Sage,https://drive.google.com/file/d/1q1v7Yb_xleOuCwhahxUkuxP4RXsT8GA2/view?usp=sharing,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 77Â°F. (Show Â°C/cm),Space plants: 20 inches apart,Harvest in approximately 18 months. Time reduced if grown from cuttings.,"Compatible with (can grow beside): Broccoli, Cauliflower, Rosemary, Cabbage and Carrots",,The leaves are used to flavour stuffing and meat dishes. Sage keeps well if dried.,
Salsify,Vegetable oyster,https://drive.google.com/file/d/14X3zkcb8sLq1i4ktILjbDCmDSDYlBX2N/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 86Â°F. (Show Â°C/cm),Space plants: 6 - 8 inches apart,Harvest in 14-21 weeks.,"Compatible with (can grow beside): Beans, Brassicas, Carrots, Celeriac, Endive, Kohl-rabi, Leeks, Lettuce, Alliums, Spinach",,Wash and scrape the roots then boil before frying or roasting. They can also be used to make a creamed soup.,
Savory - summer savory,Bean Herb,https://drive.google.com/file/d/1w1F_452ea1bjGCNWf3bpUgy9-wI3Pwv9/view?usp=sharing,Easy to grow. Sow in Garden. Lightly cover.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64Â°F and 86Â°F. (Show Â°C/cm),Space plants: 10 inches apart,Harvest in 6-10 weeks. Cut before flowers form for best flavour.,"Compatible with (can grow beside): Beans, Onions",,"Usually added to peas, beans or lentils. It has a slightly spicy flavour.",
Savory - winter savory,Savory,https://drive.google.com/file/d/1zqC13NYYl9HXGXtCM0lWEjuXv_jKOV2W/view?usp=sharing,Easy to grow. Start in trays. Cover seed lightly.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64Â°F and 86Â°F. (Show Â°C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-10 weeks. Use the leaves fresh..,Compatible with (can grow beside): Beans,,Can be used as seasoning for beans and other green vegetables.,
Shallots,Eschalots,https://drive.google.com/file/d/1Mq1RBAD4NkNZt1Mlx3F23_a2JpZjK2FF/view?usp=sharing,"Easy to grow. Plant small bulblets, with stem just showing above ground. Best planted at soil temperatures between 46Â°F and 86Â°F. (Show Â°C/cm)",Space plants: 6 - 8 inches apart,Harvest in 12-15 weeks. Keep a few for your next planting.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans","Use in any recipe instead of onions. Can be cooked whole, braised gently with other vegetables.",Can be pickled.
Silverbeet,Swiss Chard or Mangold,https://drive.google.com/file/d/1b6tVAiMoaSBrW8vXdx-o-zTjfbrWXyqI/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 86Â°F. (Show Â°C/cm),Space plants: 6 - 12 inches apart,Harvest in 7-12 weeks.,"Compatible with (can grow beside): Beans, brassica sp. (cabbage, cauliflower, etc), tomato, allium sp. (onion, garlic, chives), lavender, parsnip","Avoid growing close to: Corn, melon, cucurbit (cucumbers, squash, melons, gourds), most herbs, potato.",Wash thoroughly and inspect the back of the leaves for insects. Chop and put in a saucepan with very little water ( or just what is on the leaves). Cover and cook over a low to medium heat until the leaves collapse. A small amount of nutmeg enhances the flavour.,
Snow Peas,"Sugar Peas, Mangetout, Chinese Peas",https://drive.google.com/file/d/1-nuOG3Zh_w3H5VNIex88uPrvunqTHsFG/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46Â°F and 68Â°F. (Show Â°C/cm),Space plants: 3 - 4 inches apart,Harvest in 12-14 weeks.,"Compatible with (can grow beside): Carrots, Endive, Florence fennel, Winter lettuce, Brassicas.","Avoid growing close to: Chives, Alliums, Tomatoes",Cook whole or eat raw in salads,
Spinach,English spinach,https://drive.google.com/file/d/1G4FJj18DxS9Yj0uzw5x0auAO-HsQj051/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 77Â°F. (Show Â°C/cm),Space plants: 8 - 12 inches apart,Harvest in 5-11 weeks.,"Compatible with (can grow beside): Broad beans (fava), cabbage, cauliflower, celery, eggplant (aubergine), onion, peas, strawberry, santolina",,Use young leaves in salad. Steam and add to other vegetables.,
Spring onions,"Scallions, Bunching onions, Welsh onion",https://drive.google.com/file/d/1WN4fZUhmeVLNsKTRSu-zLxGVgWEZyo3S/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 68Â°F. (Show Â°C/cm),Space plants: close together,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans",Can be eaten raw in salads. Often used chopped and sprinkled on Asian stir-fry.,
Squash,"Crookneck, Pattypan, Summer squash",https://drive.google.com/file/d/1oP9LDbPyEmBPpES99kZkiyPJrBVKQKIO/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70Â°F and 95Â°F. (Show Â°C/cm)",Space plants: 24 - 31 inches apart,Harvest in 7-8 weeks.,Compatible with (can grow beside): Sweet corn,,Use whole or sliced. Steam or fry.,
Strawberry Plants,,https://drive.google.com/file/d/1GS6BsuBbo2h4dcw7zcsxHGRnpL7Fg0l7/view?usp=sharing,Easy to grow. Plant with crown (of roots) just covered.. Best planted at soil temperatures between 50Â°F and 68Â°F. (Show Â°C/cm),Space plants: 12 - 39 inches apart,"Harvest in approximately 11 weeks. Strawberries bruise easily when ripe, handle carefully. Pick with a small piece of stem attached..",Compatible with (can grow beside): Better in a bed on their own to allow good sun and air circulation,"Avoid growing close to: If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant","Pick strawberries and eat them straight from the garden - warm from the sunshine, delicious! Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding which also has raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.",
Sunflower,,https://drive.google.com/file/d/1L1a-Z9JyH0RWNEMxD4uYlKq7R1Hjn9Yy/view?usp=sharing,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 86Â°F. (Show Â°C/cm),Space plants: 8 - 12 inches apart,Harvest in 10-11 weeks.,"Compatible with (can grow beside): Cucumbers, Melons, Sweetcorn, Squash",Avoid growing close to: Potatoes,Use seeds fresh or toasted,
Sweet corn,Maize,https://drive.google.com/file/d/1WkP2hwfFzDoOJXRhHWBLqrOOekmr9qn4/view?usp=sharing,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61Â°F and 95Â°F. (Show Â°C/cm),Space plants: 8 - 12 inches apart,Harvest in 11-14 weeks.,"Compatible with (can grow beside): All beans, cucumber, melons, peas, pumpkin, squash, amaranth",Avoid growing close to: Celery.,Piick and cook within an hour. Remove the silks and outer leaves. Best flavour if microwave about 4 minutes per cob. Can be barbequed wrapped in foil. Cook large amounts in a stock pot until test soft. Sprinkle with black pepper and dip in butter.,
Sweet Marjoram,Knotted marjoram,https://drive.google.com/file/d/1zqbKjXxIIrCxOW6my2ASPPKrr-3IpIhW/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 77Â°F. (Show Â°C/cm)",Space plants: 8 inches apart,Harvest in 8-10 weeks. Best flavour if picked before flowering.,"Compatible with (can grow beside): Peppers (Capsicums, Chilis), Sage,",,"Sweet Marjoram has a mild oregano flavor with a hint of balsam. Sweet Marjoram can be used as a substitute for oregano in sauces for mediterranean style pizza, lasagna, and eggplant parmigiana.",
Sweet Potato,Kumara,https://drive.google.com/file/d/1cm4GFlvDmry9RJDevzWQyQd9NstyHBmn/view?usp=sharing,Plant shoots or cuttings (Slips). Best planted at soil temperatures between 63Â°F and 95Â°F. (Show Â°C/cm),Space plants: 16 - 24 inches apart,Harvest in 15-17 weeks.,Compatible with (can grow beside): Best in Separate bed,,"Use mashed, boiled, roasted, baked or fried. Or use in soups, pies, casseroles, curries and salads.",
Taro,"Dasheen, cocoyam",https://drive.google.com/file/d/1EWvCKTrR-78U-MvKjZz0R46iZ_veyfX-/view?usp=sharing,"Plant small pieces of tuber or suckers, 5-8cm deep. Best planted at soil temperatures between 68Â°F and 95Â°F. (Show Â°C/cm)",Space plants: 31 inches apart,Harvest in approximately 28 weeks. When the leaves begin to die down. .,Compatible with (can grow beside): Best in separate bed,,"Taro can be cooked like potatoes, boiled, roasted, fried or steamed. It is not eaten raw.",
Thyme,Common thyme,https://drive.google.com/file/d/1eGSqvgV2JIlkw9IMh1kcqJF0jcJIa4Sj/view?usp=sharing,Grow in seed trays and plant out 6-8 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59Â°F and 77Â°F. (Show Â°C/cm),Space plants: 10 - 12 inches apart,Harvest in 42-52 weeks. Root divisions ready in 3 months.,"Compatible with (can grow beside): Dry-environment herbs (oregano,sage), Eggplant, Cabbage",,"Common, lemon, orange and caraway thyme are used in cooking. Thyme is mainly used with meat and fish but also tastes good with vegetables such as mushrooms, beans and carrots. The flavour can be very intense so thyme is best used sparingly.",
Tomatillo,,https://drive.google.com/file/d/1Rfu8yXMQQFF1OcZ0ZgVwapHFiL5kMX13/view?usp=sharing,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70Â°F and 81Â°F. (Show Â°C/cm)",Space plants: 28 inches apart,Harvest in 10-14 weeks. Husk splits when fruit is ripe..,Compatible with (can grow beside): Will happily grow in a flower border,,Use in spicy sauces with or to replace tomatoes. They are the base of salsa verde in Mexican cookery.,
Tomato,,https://drive.google.com/file/d/1zjGs7mRqm4CIdtsIs35kKS4H41iqVnUY/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61Â°F and 95Â°F. (Show Â°C/cm)",Space plants: 16 - 24 inches apart,Harvest in 8-17 weeks.,"Compatible with (can grow beside): Asparagus, Chervil,Carrot, Celery, Chives, Parsley, Marigold, Basil","Avoid growing close to: Rosemary, Potatoes, Fennel","Use in sauces, with fried meals, in sandwiches.",Can be frozen whole or in pieces.
Turnip,,https://drive.google.com/file/d/1OLdHevHePXb3-UDSAAaTWAGCNxPYEmpi/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 12Â°C and 30Â°C. (Show Â°F/in),Space plants: 12 - 20 cm apart,Harvest in 6-9 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives, Spinach, Carrots, Chicory","Avoid growing close to: Potatoes, Tomatoes",Grate young turnips and use raw in salads. Use older turnips in casseroles and stews.,
Watermelon,,https://drive.google.com/file/d/12Kotqxc-N4VQh7D5I_MpDUn_AOgoQDZ3/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70Â°F and 95Â°F. (Show Â°C/cm)",Space plants: 24 - 30 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Sweetcorn, Sunflowers",Avoid growing close to: Potatoes,Cut up and eat in slices. Use to make fruit drinks. Use in fruit salads.,
